;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Totaal mannen en vrouwen;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Jonger dan 20 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|20 tot 65 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|65 tot 75 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|75 tot 85 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|85 jaar of ouder;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Totaal stedelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Zeer sterk stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Sterk stedelijk;Inwoners stedelijk en landelijk gebied|Matig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Totaal landelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Weinig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Niet stedelijk;Huishoudens|Eenouderhuishoudens;Woonkernen|Woonkernen: totaal;Woonkernen|Woonkernen: minimaal 500 adressen;Oppervlakten|Land|Land(Gf-Fvw): totaal;Oppervlakten|Land|Land(Gf-Fvw): buitengebied(Gf-Fvw);Oppervlakten|Land|Land(Gf-Fvw): woonkernen(Gf-Fvw);Oppervlakten|Water|Binnenwater(Gf-Fvw): totaal;Oppervlakten|Water|Buitenwater(Gf-Fvw): totaal;Oppervlakten|Bebouwing|Bebouwing: totaal;Oppervlakten|Bebouwing|Bebouwing: woonkernen(Gf-Fvw);Oppervlakten|Bebouwing|Bebouwing: buitengebied(Gf-Fvw);Oppervlakten|Bedrijfsterreinen;Vastgoed|Vastgoed, bron BAG|Woning totaal;Vastgoed|Vastgoed, bron BAG|Woning met functie: logies;Vastgoed|Vastgoed, bron BAG|Niet-woning met functie: logies;Periodieke bijstandsuitkeringen|Totaal bijstandsuitkeringen;Periodieke bijstandsuitkeringen|Algemene bijstand;Periodieke bijstandsuitkeringen|BBZ;Periodieke bijstandsuitkeringen|IOAW;Periodieke bijstandsuitkeringen|IOAZ;Periodieke bijstandsuitkeringen|Adreslozen;Minderheden;Banen van werknemers;Bedrijfsvestigingen;Inwoners in zorginstellingen;Uitwonende studenten
Aa en Hunze;25386;5041;13732;3911;2020;682;0;0;0;0;25390;4140;21250;590;33;6;27601;24821;2780;286;0;270;172;98;;11257;22;1647;348;308;8;24;8;;300;;2840;520;120
Aalburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalsmeer;31728;7768;18130;3213;1904;713;10;0;10;14400;17320;14560;2760;960;3;2;2005;621;1384;1223;0;284;225;60;;13091;3;11;219;204;1;13;1;;1460;;4225;360;150
Aalten;27011;5979;15068;3363;1932;669;910;0;910;8540;17570;9690;7890;652;9;3;9653;8290;1364;52;0;274;165;109;;11971;56;129;273;246;2;22;3;;570;;2530;460;100
Abcoude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;27852;6828;15566;3291;1637;530;0;0;0;0;27850;12210;15640;838;13;5;10221;8158;2063;177;0;264;190;74;;12118;7;24;575;507;6;59;3;;290;;2715;240;140
Alblasserdam;20069;5189;10920;2066;1380;514;11380;0;11380;4900;3790;3590;210;582;3;1;873;339;534;133;0;107;90;17;;8324;2;1;328;305;0;22;1;;1160;;1990;160;70
Albrandswaard;25271;6179;14756;2580;1265;491;270;0;270;13660;11340;10500;850;817;2;2;2165;1187;978;211;0;123;108;15;;10347;0;2;269;245;1;21;2;;2345;;2400;570;140
Alkemade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alkmaar;108558;23017;64626;12542;6144;2229;84770;36660;48110;9050;14750;6230;8520;4239;13;5;11017;7809;3207;718;0;551;467;83;;51127;16;207;2319;2158;13;101;7;40;8345;;12465;1020;1050
Almelo;72849;16484;42194;8157;4410;1604;35700;7020;28680;21340;15810;11100;4710;2669;3;1;6715;4138;2578;225;0;551;412;139;;33472;2;2;2524;2351;20;138;8;7;7925;;6365;890;570
Almere;207904;53198;131272;15681;5762;1991;118420;4630;113790;58180;31310;24330;6980;10658;6;3;12905;7547;5358;2091;9881;807;744;62;;84161;3;12;5149;4655;68;290;22;114;43910;;21165;1650;2200
Alphen aan den Rijn;110986;25517;64637;12446;6254;2132;59330;32490;26840;21410;30250;19870;10380;3402;14;5;12638;8827;3811;612;0;594;510;84;;47753;6;15;1519;1390;10;103;16;;7755;;11850;1320;840
Alphen-Chaam;10149;2131;5732;1326;736;224;0;0;0;0;10150;0;10150;234;8;2;9298;8586;713;54;0;155;57;98;;4342;68;209;78;69;2;7;0;;125;;1440;120;40
Altena;55386;13492;31145;6378;3281;1090;0;0;0;5300;50080;17600;32480;1227;24;11;19960;16401;3559;2704;0;437;330;107;;22221;20;191;488;452;1;33;2;;710;;6750;710;170
Ameland;3673;749;2096;503;254;71;0;0;0;0;3670;0;3670;78;4;3;5654;4788;866;79;21118;56;46;10;;1731;50;1887;7;4;1;2;0;;10;;590;30;20
Amersfoort;156286;39154;94154;13453;6736;2789;125990;45830;80160;18600;11700;9600;2100;5286;3;1;6252;2526;3725;134;0;669;626;43;;67181;2;127;3249;2904;33;219;10;83;16255;;18820;1930;2030
Amstelveen;90838;20785;52652;8914;5681;2806;79030;45550;33480;7050;4750;3200;1560;3111;7;1;4122;1957;2165;286;0;323;303;20;;42035;1;20;1053;982;6;58;7;;7265;;10520;740;3270
Amsterdam;862965;166455;588530;65993;30877;11110;834980;725320;109670;16010;11970;7830;4140;40415;20;4;16517;5578;10939;3158;2274;2397;2138;259;;441490;10;591;37627;33815;331;1580;167;1734;208335;;153240;10040;42930
Andijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anna Paulowna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;162445;35674;93075;19443;10274;3979;110720;27480;83240;18400;33320;11910;21410;5163;24;6;33983;27670;6313;132;0;1011;824;186;;72445;44;2454;3266;3033;23;190;12;8;8705;;16525;3480;1490
Appingedam;11721;2421;6402;1628;949;321;810;0;810;3990;6920;6220;700;470;1;1;2376;1795;582;82;0;82;67;14;;6032;0;5;411;382;0;28;1;;600;;730;250;70
Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnhem;159265;34378;100767;14379;6966;2775;114510;34630;79870;29420;15340;12400;2940;6569;6;1;9772;5579;4193;382;0;663;612;51;;75632;9;91;7304;6764;41;385;16;98;20165;;18000;2690;6080
Assen;67963;15651;38836;7761;4160;1555;24520;6230;18300;21630;21810;16730;5080;2564;3;1;8186;5568;2618;160;0;398;358;41;;31570;3;17;1922;1756;36;99;5;26;2235;;5690;1490;740
Asten;16710;3584;9440;2161;1181;344;2290;0;2290;5160;9260;4730;4530;380;2;2;7024;6269;754;110;0;208;106;102;;6853;5;12;185;177;0;7;1;;285;;2125;220;50
Baarle-Nassau;6847;1271;3749;1033;600;194;0;0;0;0;6850;3450;3400;189;6;1;7610;6999;611;18;0;135;50;85;;2852;5;992;53;47;0;6;0;;110;;1030;70;20
Baarn;24767;5361;13631;3140;1842;793;14000;1290;12710;6290;4480;2970;1520;771;5;1;3253;2297;955;48;0;125;111;15;;11647;1;97;339;305;1;29;4;;1190;;3680;1030;170
Barendrecht;48673;12572;27753;4868;2579;901;32290;1490;30810;14180;2200;1890;310;1534;4;1;1944;532;1412;229;0;229;225;4;;19256;1;57;509;460;5;39;5;;5760;;5405;450;310
Barneveld;57971;16694;31790;5196;3097;1194;13320;0;13320;11150;33510;15900;17600;1086;18;7;17586;14209;3377;80;0;622;360;262;;22249;12;3630;524;477;12;33;2;;1655;;7515;740;290
Bedum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beek (L.);15929;2801;9053;2246;1359;470;0;0;0;7480;8450;3990;4470;502;3;2;2103;1227;876;0;0;128;98;29;;7485;3;4;231;219;1;9;2;;455;;1750;130;80
Beekdaelen;35727;6511;19986;5197;3008;1025;140;0;140;290;35290;16900;18390;1092;12;7;7831;5003;2828;18;0;272;236;36;;16635;22;80;417;388;2;23;4;;610;;3435;380;180
Beemster;9748;2219;5571;1141;602;215;380;0;380;1490;7880;4370;3520;243;4;2;7059;6404;655;148;0;99;41;58;;3941;5;13;63;59;0;4;0;;220;;1370;210;40
Beesel;13519;2741;7662;1811;983;322;0;0;0;3180;10340;6790;3550;365;2;1;2785;1952;832;131;0;108;93;15;;5959;13;508;183;163;0;19;1;;600;;1080;80;50
Bellingwedde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bennebroek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg en Dal;34798;6797;19530;4791;2651;1029;0;0;0;6960;27840;14050;13790;1018;12;5;8631;6561;2070;697;0;235;185;50;;15619;7;266;713;644;2;62;5;;730;;3595;840;330
Bergambacht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergeijk;18491;3863;10565;2336;1329;398;0;0;0;2730;15770;5180;10580;438;9;5;10105;8598;1507;71;0;235;157;77;;7870;78;819;132;125;2;5;0;;185;;2455;110;70
Bergen (L.);13140;2535;7540;1814;948;303;0;0;0;0;13140;4060;9080;332;11;4;10292;9428;864;558;0;134;73;61;;5723;36;21;159;143;1;12;3;;170;;1215;140;50
Bergen (NH.);29974;5508;14892;5321;3041;1212;1640;0;1640;10800;17530;9650;7880;952;5;4;9896;7506;2390;98;2030;213;185;29;;15209;79;2768;275;248;7;18;2;;480;;4295;780;110
Bergen op Zoom;66811;13931;38638;8330;4412;1500;37270;15440;21830;13390;16150;12460;3690;2263;8;2;7989;5710;2279;1324;0;445;352;93;;30380;2;55;1706;1523;12;125;9;37;7985;;6145;1380;370
Berkelland;43904;9221;23877;6192;3466;1148;0;0;0;10460;33440;17710;15730;1011;24;5;25806;23407;2399;215;0;540;265;276;;19541;16;557;526;487;5;28;6;;750;;4670;590;200
Bernheze;30806;7054;17419;3597;1975;761;0;0;0;6310;24490;14160;10330;736;8;4;8971;7544;1427;70;0;333;181;152;;12451;4;11;263;235;1;23;4;;490;;3640;420;130
Bernisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Best;29821;6771;17411;3173;1874;592;11120;0;11120;9930;8780;6570;2210;911;2;1;3430;2298;1133;80;0;228;183;45;;12535;1;7;400;372;1;25;2;;1270;;3090;80;130
Beuningen;25882;5587;15341;3037;1470;447;5100;0;5100;9330;11450;4320;7130;761;7;3;4351;3156;1195;358;0;168;129;39;;11090;3;240;370;344;4;20;2;;705;;2700;150;140
Beverwijk;41176;8919;24801;4196;2300;960;36420;28680;7740;2160;2600;290;2310;1602;3;2;1837;789;1048;52;120;237;191;46;;19280;0;8;842;796;1;43;2;;3670;;4460;520;240
het Bildt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Bilt;42824;9974;22656;5228;3296;1670;16850;0;16850;9800;16170;9440;6730;1323;10;4;6616;4670;1946;97;0;242;205;37;;19544;18;434;525;476;11;35;3;;2075;;5955;660;520
Binnenmaas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladel;20175;4376;11474;2439;1426;460;0;0;0;6880;13290;7260;6030;490;9;4;7531;6194;1337;32;0;260;173;87;;8618;8;623;130;119;3;8;0;;255;;2455;250;70
Blaricum;11202;2681;5700;1778;828;215;2630;10;2620;2010;6560;5320;1240;324;3;2;1108;494;614;448;0;60;58;2;;4941;1;1;92;87;0;4;1;;555;;1815;60;40
Bloemendaal;23410;5824;11417;3180;1997;992;5060;1770;3280;5950;12400;8710;3700;610;5;3;3976;2790;1186;78;469;118;106;11;;9992;5;107;162;145;1;15;1;;485;;3525;540;110
Boarnsterhim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodegraven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;34462;8398;19219;3978;2164;703;10120;0;10120;11890;12450;3390;9060;844;18;6;7567;5969;1598;1297;0;231;181;50;;14360;9;341;288;256;6;21;5;;1510;;4565;210;150
Boekel;10588;2487;6120;1178;610;193;0;0;0;0;10590;6670;3920;225;6;1;3451;2839;612;1;0;148;69;79;;4168;5;18;63;57;2;3;1;;115;;1310;300;40
Ten Boer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolsward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borger-Odoorn;25372;5043;14147;3700;1877;605;0;0;0;0;25370;5170;20200;623;36;5;27483;24848;2635;306;0;281;169;112;;11645;26;289;450;403;6;38;3;;305;;2690;240;120
Borne;23210;5485;12737;2815;1637;536;7140;0;7140;8070;8010;5840;2170;593;3;1;2597;1686;911;19;0;143;123;20;;9817;1;2;288;253;4;29;2;;605;;2105;260;150
Borsele;22800;5367;12845;2610;1430;548;0;0;0;0;22800;6990;15810;548;18;6;14140;12522;1618;279;5033;282;118;164;;9785;13;359;197;170;7;18;2;;335;;2500;250;70
Boskoop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boxmeer;29065;5941;16572;3809;1994;749;720;0;720;7230;21120;4490;16620;730;12;6;11135;9418;1716;250;0;324;183;141;;12427;6;351;284;255;4;21;4;;795;;2845;400;150
Boxtel;30747;6767;17314;3958;1963;745;12150;0;12150;8420;10180;4340;5840;935;4;2;6365;5035;1330;120;0;232;179;53;;13353;2;112;421;378;4;36;3;;1500;;3275;610;200
Breda;183873;39831;110475;18600;10718;4249;117340;64920;52420;38030;28510;22550;5960;6278;5;1;12559;6889;5669;309;0;1041;918;122;;83793;11;94;4168;3800;25;292;11;40;14830;;22290;2560;7480
Breukelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brielle;17182;3418;9926;2232;1209;397;1600;0;1600;5030;10550;6480;4080;561;3;3;2756;2095;661;358;0;89;70;19;;7963;3;36;201;179;1;21;0;;510;;1835;150;90
Bronckhorst;36212;7401;19628;5268;2895;1020;0;0;0;0;36210;14540;21670;752;24;6;28347;26119;2228;295;0;458;189;269;;16152;11;415;296;260;5;28;3;;400;;4690;380;130
Brummen;20698;4069;11436;2839;1785;569;0;0;0;9100;11600;5890;5710;562;7;2;8362;7167;1195;140;0;179;118;61;;9310;7;386;272;247;3;20;2;;915;;2130;330;90
Brunssum;28103;5066;16227;3765;2260;785;17750;1030;16710;8720;1640;1500;140;1132;1;1;1725;716;1009;9;0;170;154;16;;14479;3;1;754;722;3;23;6;;905;;1850;440;130
Bunnik;15192;3705;8123;1753;1192;419;0;0;0;0;15190;11570;3620;356;3;3;3689;2967;722;68;0;113;81;32;;6379;0;13;108;96;2;9;1;;405;;2065;140;190
Bunschoten;21576;5647;12408;2124;1089;308;6980;0;6980;6390;8210;6970;1240;432;2;1;3040;2294;746;442;0;143;122;22;;8414;6;14;158;146;4;6;2;;690;;2410;250;100
Buren;26568;5916;15358;3367;1485;442;0;0;0;0;26570;4260;22310;666;22;8;13382;11405;1977;910;0;271;154;117;;10604;19;385;206;182;0;21;3;;390;;3705;140;70
Bussum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capelle aan den IJssel;66818;14754;38672;7995;3814;1583;60790;20570;40220;6020;0;0;0;3439;1;1;1423;40;1383;117;0;228;225;3;;30853;2;1;1793;1664;5;115;9;;10065;;6680;610;730
Castricum;35772;7536;19444;4789;2925;1078;14630;0;14630;5170;15970;13590;2390;928;7;3;4956;3551;1404;566;519;188;168;20;;15973;32;143;303;275;7;20;1;;695;;4040;490;230
Coevorden;35483;7515;19527;4793;2647;1001;700;0;700;5820;28960;6590;22380;1000;27;8;29614;26603;3011;355;0;414;237;177;;15521;19;1749;708;655;11;39;3;;700;;3575;450;160
Cranendonck;20440;4086;11492;2845;1551;466;0;0;0;2400;18040;10000;8050;533;10;4;7652;6140;1512;153;0;228;161;68;;8962;2;38;240;214;2;20;4;;480;;2345;240;90
Cromstrijen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuijk;24931;5307;14349;3097;1688;490;2020;0;2020;8290;14630;6940;7690;759;6;3;5119;3852;1267;588;0;220;149;71;;11094;7;25;374;348;5;21;0;;1820;;2230;250;160
Culemborg;28555;6733;16676;3070;1531;545;13190;0;13190;11790;3580;2800;780;937;1;1;2931;2060;871;183;0;183;160;23;;12390;7;198;489;448;2;34;5;;3235;;3200;330;230
Dalfsen;28499;6895;15717;3251;1988;648;0;0;0;3810;24690;11040;13650;517;9;3;16500;14918;1583;151;0;337;163;174;;11722;3;318;256;226;5;23;2;;325;;3120;220;130
Dantumadeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadiel;18923;4366;10430;2384;1319;424;0;0;0;0;18920;7980;10950;417;9;3;8456;7215;1240;297;0;160;113;47;;8147;2;13;434;378;2;47;7;;205;;1625;380;100
Delft;103163;18631;68324;9576;4656;1976;96750;74320;22430;6160;260;10;250;3517;1;1;2269;559;1710;137;0;351;337;14;;50610;3;22;2928;2674;13;142;6;93;9515;;10035;910;15340
Delfzijl;24716;4872;13659;3363;2117;705;390;0;390;6730;17600;7410;10190;951;11;3;13304;11587;1716;542;8904;269;152;116;;12182;6;24;870;814;3;50;3;;1800;;1845;330;110
Deurne;32362;6970;18561;3892;2242;697;6510;0;6510;7370;18480;6100;12380;818;6;3;11681;9939;1742;155;0;403;218;184;;13887;7;114;339;302;1;32;4;;705;;3715;580;150
Deventer;99957;22616;59460;10125;5477;2279;48920;24550;24370;26230;24810;15550;9260;3517;8;2;13049;9843;3205;385;0;583;460;123;;45313;7;17;2675;2478;19;131;6;41;9260;;9775;1390;1890
Diemen;29196;6071;18540;2608;1408;569;23710;15570;8150;4930;550;460;90;1244;1;1;1186;589;597;107;110;96;93;4;;13803;0;30;393;356;5;29;3;;5220;;3270;270;2420
Dijk en Waard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dinkelland;26350;5967;14673;3098;1889;723;0;0;0;2050;24300;10020;14290;502;11;5;17571;15930;1642;111;0;323;157;165;;10900;137;106;183;153;4;25;1;;290;;3065;410;100
Dirksland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;11148;2125;6223;1724;833;243;0;0;0;2340;8810;7990;820;423;1;1;1158;758;400;138;0;62;51;11;;5286;1;0;266;244;2;18;2;;950;;1015;90;60
Doetinchem;57555;12607;33016;6888;3700;1344;13270;0;13270;18350;25940;17500;8440;1758;7;3;7899;5190;2709;66;0;434;357;77;;25926;4;46;1163;1077;6;67;5;8;2635;;5995;1170;390
Dongen;26051;5575;15010;3172;1698;596;7490;0;7490;9880;8680;4600;4080;735;3;2;2925;1826;1099;49;0;199;148;51;;11241;6;11;289;267;1;20;1;;1275;;2620;400;130
Dongeradeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dordrecht;118654;25738;70434;12854;6850;2778;101580;49690;51900;12610;4460;3330;1130;4711;3;2;7707;5007;2700;2239;0;530;459;70;;55008;1;33;3641;3368;5;172;10;86;16275;;11605;2010;1160
Drechterland;19597;4513;10926;2580;1215;363;0;0;0;30;19570;9070;10500;497;11;3;5887;4347;1539;67;2105;172;113;59;;8280;24;134;156;149;1;6;0;;375;;2320;180;70
Drimmelen;27150;5471;15653;3641;1812;573;1220;0;1220;6220;19710;10710;9000;637;7;5;9472;8119;1353;2471;0;208;153;54;;11779;0;28;160;143;1;14;2;;365;;3045;490;90
Dronten;40815;9848;23701;4200;2235;831;2510;0;2510;8400;29910;21740;8170;1163;12;3;33362;31011;2351;5766;3261;397;240;157;;17140;169;1009;585;536;14;26;9;;1990;;4505;260;770
Druten;18797;4204;11022;2131;1103;337;0;0;0;8060;10740;5010;5720;567;5;4;3757;2832;924;489;0;146;109;36;;8047;6;7;250;230;2;17;1;;890;;1990;470;90
Duiven;25332;5662;15018;2757;1415;480;5320;0;5320;10840;9170;6010;3160;780;6;1;3392;2224;1168;127;0;186;135;52;;10708;0;2;427;379;1;45;2;;795;;2420;150;160
Echt-Susteren;31638;5527;18140;4626;2480;865;1140;0;1140;7210;23290;10250;13050;924;12;5;10303;8148;2155;159;0;302;227;76;;14540;11;580;437;400;2;26;9;;605;;3285;690;110
