;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Totaal mannen en vrouwen;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Jonger dan 20 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|20 tot 65 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|65 tot 75 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|75 tot 85 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|85 jaar of ouder;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Totaal stedelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Zeer sterk stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Sterk stedelijk;Inwoners stedelijk en landelijk gebied|Matig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Totaal landelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Weinig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Niet stedelijk;Huishoudens|Eenouderhuishoudens;Woonkernen|Woonkernen: totaal;Woonkernen|Woonkernen: minimaal 500 adressen;Oppervlakten|Land|Land(Gf-Fvw): totaal;Oppervlakten|Land|Land(Gf-Fvw): buitengebied(Gf-Fvw);Oppervlakten|Land|Land(Gf-Fvw): woonkernen(Gf-Fvw);Oppervlakten|Water|Binnenwater(Gf-Fvw): totaal;Oppervlakten|Water|Buitenwater(Gf-Fvw): totaal;Oppervlakten|Bebouwing|Bebouwing: totaal;Oppervlakten|Bebouwing|Bebouwing: woonkernen(Gf-Fvw);Oppervlakten|Bebouwing|Bebouwing: buitengebied(Gf-Fvw);Oppervlakten|Bedrijfsterreinen;Vastgoed|Vastgoed, bron BAG|Woning totaal;Vastgoed|Vastgoed, bron BAG|Woning met functie: logies;Vastgoed|Vastgoed, bron BAG|Niet-woning met functie: logies;Periodieke bijstandsuitkeringen|Totaal bijstandsuitkeringen;Periodieke bijstandsuitkeringen|Algemene bijstand;Periodieke bijstandsuitkeringen|BBZ;Periodieke bijstandsuitkeringen|IOAW;Periodieke bijstandsuitkeringen|IOAZ;Periodieke bijstandsuitkeringen|Adreslozen;Minderheden;Banen van werknemers;Bedrijfsvestigingen;Inwoners in zorginstellingen;Uitwonende studenten
Leusden;30030;6964;16618;3766;2003;679;9930;0;9930;8460;11640;7810;3820;814;4;2;5852;4829;1022;38;0;173;128;46;;12905;8;4;297;254;5;37;1;;835;;3735;300;190
Liesveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lingewaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lingewaard;46475;10695;26028;5936;2893;923;6240;0;6240;15130;25110;13530;11580;1306;5;4;6193;3946;2247;721;0;293;236;56;;19783;11;5;490;431;1;53;5;;885;;4510;550;260
Lisse;22800;4957;12735;2856;1646;606;13080;0;13080;6700;3020;1460;1560;706;3;2;1569;930;639;36;0;131;115;16;;10217;3;4;213;187;2;22;2;;520;;2505;140;120
Lith;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Littenseradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lochem;33590;6872;17421;4966;3143;1188;2470;0;2470;7140;23980;4810;19170;739;19;6;21303;18971;2332;291;0;375;182;193;;14997;4;1163;393;351;3;36;3;;1030;;4360;660;160
Loenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loon op Zand;23327;4871;13286;2951;1666;553;3970;0;3970;8320;11040;7790;3250;637;5;2;4991;3989;1003;80;0;172;135;37;;10317;8;273;223;197;3;22;1;;600;;2505;270;90
Lopik;14473;3589;8427;1495;754;208;0;0;0;40;14430;5230;9200;343;13;2;7576;6145;1431;322;0;138;98;41;;5660;0;54;123;117;0;6;0;;480;;1800;120;50
Loppersum;9614;2045;5446;1333;573;217;0;0;0;0;9610;0;9610;249;15;2;11103;9992;1111;96;0;131;61;70;;4698;6;0;204;181;1;20;2;;130;;1050;110;60
Losser;22622;4859;12491;3100;1685;487;0;0;0;5780;16840;9160;7680;633;7;3;9876;8653;1223;86;0;191;121;71;;9733;9;105;282;262;1;16;3;;475;;2060;520;130
Maarssen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasdonk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasdriel;24693;5534;14547;2818;1335;459;0;0;0;960;23730;10860;12880;642;14;5;6585;5015;1570;961;0;276;174;102;;9947;14;290;222;201;1;16;4;;470;;3550;200;80
Maasgouw;23716;4094;13475;3546;1949;652;0;0;0;0;23720;7480;16240;567;9;6;4567;2908;1658;1245;0;205;169;36;;10702;21;636;245;224;1;13;7;;315;;2560;810;100
Maashorst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maassluis;32768;6989;18278;4476;2248;777;26740;3430;23310;5290;740;640;100;1160;1;1;845;174;671;167;0;111;109;3;;15127;2;0;750;705;4;39;2;;4990;;2720;320;200
Maastricht;121565;20524;75138;14354;8354;3195;94260;46040;48220;15470;11840;8500;3340;3973;2;1;5562;2064;3498;450;0;616;559;58;;61884;8;172;3470;3245;9;165;10;41;5495;;11750;1850;12010
Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Marne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medemblik;44809;10292;25309;5786;2656;766;0;0;0;4480;40330;18840;21490;1206;21;7;12107;8788;3319;610;13038;396;298;98;;18957;306;809;450;419;4;25;2;;1290;;5465;650;150
Meerlo-Wanssum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen;18923;3526;10391;2772;1661;573;0;0;0;870;18060;10310;7750;538;7;3;2671;1447;1224;98;0;132;117;16;;8603;10;21;205;185;3;15;2;;240;;1880;290;120
Meierijstad;80815;17890;46524;9437;5237;1727;15090;0;15090;26970;38760;18120;20640;2225;16;5;18401;14634;3767;151;0;858;523;334;;34102;25;364;774;718;8;46;2;;3480;;9565;830;360
Meijel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menaldumadeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menameradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menterwolde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meppel;33564;7799;19123;3850;2015;777;10510;0;10510;9650;13400;7600;5800;1175;5;2;5546;4237;1309;156;0;238;189;49;;15658;2;4;700;638;9;45;8;;1190;;3375;560;430
Middelburg (Z.);48544;10803;27035;5917;3474;1315;27820;12200;15620;8650;12070;8070;4000;1718;4;2;4837;2864;1973;467;0;279;252;27;;23532;20;143;1215;1153;7;52;3;;2515;;4570;650;840
Middelharnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midden-Delfland;19391;4690;11133;1980;1108;480;6700;3330;3370;1780;10920;9020;1890;460;12;3;4722;3922;800;216;0;115;81;34;;7883;3;13;125;117;0;8;0;;660;;2180;110;170
Midden-Drenthe;33178;7068;18408;4535;2340;827;0;0;0;1950;31230;9240;21980;806;29;6;34066;31116;2950;522;0;408;219;189;;14313;11;1616;399;355;2;36;6;;415;;3505;530;180
Midden-Groningen;60899;12812;34839;7884;4057;1307;15630;0;15630;6250;39020;9950;29070;2157;23;9;27788;23577;4210;1789;0;554;385;169;;28074;15;247;1711;1579;15;102;15;;3815;;5090;1080;410
Mill en Sint Hubert;10891;2262;6309;1344;714;262;0;0;0;0;10890;2570;8330;228;6;2;5221;4473;748;97;0;142;75;67;;4569;0;23;92;88;1;3;0;;135;;1240;120;50
Millingen aan de Rijn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moerdijk;36961;7864;21140;4702;2415;840;5050;0;5050;6160;25750;12100;13650;1047;20;7;15922;13860;2062;2481;0;503;200;302;;16407;1;16;470;423;3;42;2;;1140;;4260;340;120
Molenlanden;43858;11516;24221;4904;2407;810;0;0;0;2510;41350;9690;31660;869;28;12;18146;15222;2925;1012;0;356;241;115;;17160;64;44;291;269;2;20;0;;620;;4990;300;160
Molenwaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montferland;36026;7233;20464;4731;2733;865;1060;0;1060;11490;23480;9440;14040;945;10;5;10568;8512;2056;96;0;350;239;111;;15727;16;279;347;320;7;18;2;;850;;3520;400;160
Montfoort;13996;3495;7818;1638;847;198;0;0;0;3040;10960;8160;2800;342;4;2;3759;3069;690;61;0;109;81;28;;5733;1;2;103;92;2;7;2;;455;;1670;60;70
Mook en Middelaar;7806;1511;4215;1186;695;199;0;0;0;0;7810;3310;4500;195;4;1;1739;1208;531;142;0;54;45;9;;3579;4;56;92;78;1;12;1;;120;;915;50;50
Moordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muiden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naarden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neder-Betuwe;24034;6790;13188;2469;1171;416;0;0;0;0;24030;13010;11020;529;11;4;5992;4731;1261;754;0;217;136;81;;8748;0;192;246;225;6;15;0;;405;;2750;250;80
Nederlek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederweert;17001;3322;9800;2210;1286;383;0;0;0;4170;12830;4540;8290;369;8;2;9989;8880;1108;190;0;261;126;135;;7385;4;6;128;116;0;12;0;;220;;2145;190;50
Neerijnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niedorp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwegein;63036;13271;37184;8259;3402;920;49160;13070;36090;9910;3970;3650;320;2303;1;1;2323;703;1620;241;0;316;286;29;;28710;2;1;1182;1103;9;66;4;;6925;;6335;380;640
Nieuwerkerk aan den IJssel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwkoop;28628;6327;16506;3499;1775;521;0;0;0;1640;26990;11260;15740;678;15;4;7807;6016;1791;1310;0;210;154;57;;11361;6;365;215;191;1;19;4;;765;;3530;620;100
Nieuw-Lekkerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nijefurd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nijkerk;42943;10856;24092;4602;2563;830;12060;0;12060;13700;17180;11040;6140;960;10;3;6934;5057;1877;270;0;330;257;73;;17125;0;214;439;404;2;33;0;;1895;;5225;320;200
Nijmegen;176731;34163;114743;16517;8298;3010;136970;63040;73940;19760;20000;19270;730;6235;4;2;5259;1010;4249;503;0;747;704;43;;80736;1;101;6929;6259;69;476;21;104;14935;;18480;2280;18020
Nissewaard;84797;17895;50389;9981;4903;1629;57970;29880;28090;10920;15910;9310;6600;3902;6;4;7338;5038;2300;1041;0;345;309;36;;39036;3;6;2270;2008;9;175;11;67;8640;;5760;820;590
Noardeast-Fryslân;45181;10730;25030;5369;3082;970;220;0;220;4960;40000;10880;29120;1216;38;9;37881;34438;3444;1780;11984;476;280;196;;20395;39;533;926;834;8;78;6;;510;;4490;620;280
Noord-Beveland;7308;1275;4007;1179;623;224;0;0;0;0;7310;0;7310;201;13;5;8598;7471;1127;721;2840;101;68;33;;4400;42;1589;98;84;5;8;1;;95;;1030;140;20
Noordenveld;31290;6547;16403;4522;2859;959;700;0;700;7470;23120;10690;12430;872;17;3;19905;17480;2424;625;0;294;194;100;;14716;28;178;507;441;8;53;5;;500;;3230;390;150
Noordoostpolder;46849;11941;26732;4888;2433;855;6420;0;6420;10210;30220;6840;23380;1255;15;5;45798;43557;2241;2912;10638;587;246;341;;20018;140;71;822;763;11;44;4;;1915;;5600;650;270
Noordwijk;42859;8943;24635;5472;2860;949;22500;1020;21480;10490;9870;4350;5520;1329;7;4;5838;3739;2099;102;1554;274;230;43;;19688;15;1781;411;374;4;32;1;;1075;;5450;970;220
Noordwijkerhout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuenen, Gerwen en Nederwetten;23186;4927;12344;3401;1978;536;5210;0;5210;9060;8910;4060;4860;654;3;2;3362;2227;1135;32;0;175;147;28;;10165;8;10;300;277;0;23;0;;435;;2930;100;130
Nunspeet;27481;6915;14997;3063;1790;716;0;0;0;11420;16060;7210;8850;588;13;2;12873;11054;1819;80;0;208;161;47;;10851;34;1250;260;235;4;20;1;;430;;3050;590;120
Nuth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oegstgeest;24426;6018;13463;2674;1564;707;17170;0;17170;4880;2380;2370;10;743;1;1;728;85;643;69;0;93;90;3;;10691;0;3;304;286;1;16;1;;905;;2480;350;400
Oirschot;18623;3949;10748;2279;1178;469;0;0;0;5090;13530;4170;9360;406;9;2;10176;8741;1435;108;0;228;133;95;;7861;315;226;126;114;1;9;2;;240;;2530;230;70
Oisterwijk;26140;5558;14359;3326;2145;752;3950;0;3950;9120;13080;9750;3330;728;3;3;6384;5011;1373;129;0;225;167;58;;11567;6;236;239;206;6;25;2;;655;;3735;520;130
Oldambt;38129;7481;21401;5396;2804;1047;5480;0;5480;8190;24470;7870;16590;1369;23;6;22651;19772;2879;1399;5546;388;259;130;;18462;20;17;1330;1240;6;79;5;;775;;3220;650;240
Oldebroek;23598;5904;13332;2507;1375;480;0;0;0;7000;16600;7170;9430;432;9;3;9770;8215;1555;114;0;198;133;65;;9265;16;482;266;236;2;25;3;;260;;2400;230;100
Oldenzaal;31840;7203;17394;4115;2337;791;14180;1580;12610;8750;8910;7490;1420;942;2;1;2155;875;1280;40;0;232;212;20;;14434;0;2;507;467;6;29;5;;1700;;3150;440;230
Olst-Wijhe;18071;3979;10234;2256;1142;460;0;0;0;0;18070;9080;9000;413;8;2;11366;10487;879;471;0;178;81;97;;7669;5;55;195;177;3;14;1;;380;;1825;360;80
Ommen;17813;4107;9798;2281;1182;445;0;0;0;3110;14700;5620;9080;386;14;1;17981;16659;1322;220;0;224;100;124;;7429;1;1101;196;171;3;19;3;;200;;2050;260;90
Onderbanken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oost Gelre;29704;6609;16672;3666;2042;715;0;0;0;11210;18500;9610;8890;601;8;3;10993;9531;1461;51;0;337;189;148;;12854;2;414;284;268;0;12;4;;540;;3145;710;120
Oosterhout;55616;11799;31528;7258;3821;1210;27620;5050;22560;14810;13190;7070;6120;1894;7;2;7142;4808;2334;167;0;454;322;132;;25115;10;731;809;734;17;55;3;;4430;;5990;400;290
Oostflakkee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf;25497;5309;14176;3469;1864;679;0;0;0;1560;23940;9130;14810;818;17;5;22335;20545;1790;276;0;304;162;142;;11303;11;570;531;485;2;39;5;;305;;2650;620;110
Oostzaan;9757;2196;5609;1072;663;217;0;0;0;6160;3590;2670;920;313;4;1;1155;711;443;453;0;49;45;4;;4099;0;0;94;86;2;6;0;;375;;1120;70;40
Opmeer;11779;2623;6696;1473;764;223;0;0;0;0;11780;7590;4190;283;6;1;4148;3303;845;47;0;110;79;31;;4783;2;156;69;67;1;1;0;;185;;1440;100;50
Opsterland;29723;6789;16645;3627;1932;730;0;0;0;770;28950;9280;19670;772;22;5;22447;20273;2174;317;0;316;167;150;;12987;47;62;541;465;9;59;8;;400;;3235;570;160
Oss;91451;19794;53650;10461;5644;1902;38020;10020;28000;19150;34280;14070;20210;2895;22;6;16206;11857;4349;886;0;760;568;193;;39955;13;213;1539;1444;5;81;4;5;6395;;9475;810;560
Oud-Beijerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oude IJsselstreek;39473;8295;21986;5237;2949;1006;0;0;0;5990;33480;21710;11770;979;11;3;13600;11679;1921;195;0;415;245;170;;17385;7;91;585;521;5;53;6;;2025;;3885;680;180
Ouder-Amstel;13916;3279;7784;1688;825;340;4930;1940;2990;3490;5500;4940;550;534;3;2;2398;1698;700;181;0;99;83;16;;6155;1;3;168;147;1;19;1;;1050;;2460;130;200
Ouderkerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudewater;10201;2405;5731;1182;684;199;0;0;0;4460;5750;3480;2270;257;3;1;3900;3417;484;110;0;85;52;33;;4338;0;2;80;73;2;4;1;;220;;1475;100;40
Overbetuwe;47543;11655;26747;5459;2831;851;5170;0;5170;8160;34210;21780;12430;1411;11;6;10907;8546;2361;601;0;369;260;109;;19702;9;77;575;528;4;38;5;;1130;;5415;570;300
Papendrecht;32290;7242;17974;3947;2378;749;22840;5680;17150;5980;3480;3460;20;1098;1;1;935;179;757;144;0;132;125;6;;14383;2;1;474;444;1;27;2;;1995;;2805;180;160
Peel en Maas;43311;8849;24939;5551;3016;956;0;0;0;5890;37420;20190;17230;908;18;6;15934;13430;2504;201;0;512;282;230;;18302;5;494;349;290;2;49;8;;1105;;4300;640;130
Pekela;12214;2524;6936;1622;851;281;0;0;0;0;12210;5830;6390;469;4;1;4906;3854;1052;115;0;120;98;22;;5767;2;0;439;409;5;24;1;;205;;825;130;40
Pijnacker-Nootdorp;54331;14941;31421;4431;2602;936;31280;0;31280;16120;6930;5280;1650;1652;8;3;3695;2046;1649;167;0;237;216;21;;21134;10;1;469;444;2;22;1;;4045;;5510;630;510
Purmerend;80117;16774;47566;8813;5063;1901;69090;27910;41170;9600;1430;1350;80;3562;1;1;2288;657;1631;168;0;293;285;7;;36141;1;4;1460;1326;15;88;12;19;7880;;7020;1090;460
Putten;24198;5828;13400;2664;1686;620;3230;0;3230;10020;10950;4900;6040;550;7;1;8519;7054;1465;231;0;227;132;95;;9670;3;1633;169;149;1;15;4;;425;;3030;280;100
Raalte;37511;8367;21072;4538;2545;989;1150;0;1150;8270;28080;11390;16690;796;15;4;17095;15137;1958;134;0;395;207;188;;15759;2;449;369;346;1;21;1;;680;;3735;610;170
Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reiderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reimerswaal;22678;6266;12591;2142;1150;529;0;0;0;1360;21320;11460;9860;497;12;5;10175;8938;1237;1187;12880;192;127;65;;9159;5;50;218;197;3;16;2;;535;;2315;180;80
Renkum;31302;6256;16346;4577;2888;1235;0;0;0;15300;16000;11840;4160;920;5;3;4595;2981;1613;129;0;169;148;22;;14908;2;6;525;473;3;41;8;;930;;3855;900;280
Renswoude;5259;1515;2943;510;232;59;0;0;0;0;5260;3100;2160;85;1;1;1839;1559;280;12;0;62;32;30;;2017;1;1;24;22;0;2;0;;70;;790;10;20
Reusel-De Mierden;13060;2871;7644;1598;716;231;0;0;0;1510;11550;6230;5320;286;8;3;7781;7029;752;86;0;182;83;99;;5422;10;239;75;62;1;10;2;;150;;1575;70;40
Rheden;43640;8671;23608;5720;3935;1706;20700;3890;16810;11370;11570;6950;4620;1481;8;3;8176;6397;1780;259;0;242;220;22;;21189;6;89;917;860;8;46;3;;2060;;4275;960;690
Rhenen;20004;4910;10874;2342;1397;481;1490;0;1490;7910;10610;5950;4650;455;7;3;4207;3431;776;169;0;130;90;39;;8131;19;26;214;205;1;8;0;;710;;2245;290;130
Ridderkerk;46241;9449;25564;5961;3804;1463;31600;2340;29260;10140;4510;1780;2730;1612;3;1;2350;779;1571;176;0;223;213;10;;21140;0;17;837;775;4;57;1;;3305;;4390;490;250
Rijnwaarden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijnwoude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijssen-Holten;38300;10424;20796;3859;2306;915;11810;0;11810;8570;17920;12650;5270;716;9;2;9411;7688;1723;27;0;308;232;76;;14740;5;864;355;322;5;26;2;;1365;;3630;440;180
Rijswijk (ZH.);53467;11136;30572;6240;3664;1855;49390;42240;7150;2380;1700;1680;20;2352;2;2;1399;215;1184;50;0;198;190;8;;26666;0;5;1348;1268;10;65;5;;6630;;5745;600;850
Roerdalen;20615;3680;11519;3208;1647;561;0;0;0;0;20620;5640;14980;623;11;5;8825;7211;1614;54;0;181;140;40;;9463;12;343;253;238;1;10;4;;345;;1820;240;60
Roermond;58209;11632;34475;7016;3755;1331;24690;8720;15960;11490;22030;17010;5030;2225;9;2;6065;3646;2419;1040;0;439;356;83;;27465;9;120;1617;1551;4;56;6;;5625;;5725;640;470
De Ronde Venen;44059;9814;25275;5196;2837;937;6850;0;6850;10480;26730;18590;8140;1377;23;5;9969;7650;2319;1729;0;304;235;69;;18332;5;862;398;361;7;29;1;;2000;;6245;270;230
Roosendaal;77032;16179;44510;9335;5260;1748;45740;12890;32850;13880;17410;10220;7200;2590;9;4;10648;7646;3002;69;0;579;460;118;;35188;4;11;1744;1617;11;110;6;;7715;;7430;1120;470
Rotterdam;644618;139255;406894;54842;30589;13038;576060;450870;125190;44590;23970;18460;5510;34200;11;7;21818;11233;10585;7587;3012;2300;1859;441;;311597;3;992;32863;30735;102;1599;63;364;178750;;73065;8890;27100
Rozenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rozendaal;1654;410;822;226;136;60;40;0;40;750;870;560;310;29;1;1;2791;2647;144;1;0;11;10;1;;683;0;1;5;3;1;1;0;;35;;245;0;20
Rucphen;22572;4037;13516;3041;1562;416;0;0;0;5490;17090;10430;6660;547;6;2;6438;5177;1261;9;0;208;143;65;;9690;1;158;292;264;0;25;3;;375;;2620;190;60
Schagen;46553;10039;25346;6642;3433;1093;9060;0;9060;6000;31500;8870;22630;1357;23;9;16790;13396;3394;410;1528;433;289;144;;20287;32;3655;508;453;20;31;4;;825;;5475;610;190
Scheemda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schermer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scherpenzeel;9873;2610;5399;1059;606;199;0;0;0;4450;5420;4820;610;200;2;1;1379;1007;372;3;0;75;49;26;;3967;1;123;62;60;0;2;0;;165;;1095;100;40
Schiedam;77999;16833;47644;7737;4030;1755;73020;54860;18160;4600;380;290;90;3802;2;1;1784;466;1318;202;0;278;260;18;;36914;0;120;2256;2102;5;140;9;;16455;;7325;810;1110
Schiermonnikoog;936;143;534;140;96;23;0;0;0;0;940;0;940;20;1;1;4288;4063;225;41;15577;15;12;3;;587;108;769;9;8;0;1;0;;5;;150;0;0
Schijndel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schoonhoven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schouwen-Duiveland;33779;6627;18082;5059;2850;1161;0;0;0;5690;28090;7270;20820;853;24;9;22869;19701;3168;7328;18624;355;246;110;;16746;16;5072;413;383;2;22;6;;495;;4605;370;110
Sevenum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simpelveld;10516;1928;5892;1527;920;249;0;0;0;0;10520;8750;1770;321;3;2;1603;922;681;0;0;67;61;6;;5320;1;67;120;102;4;13;1;;105;;825;40;40
Sint Anthonis;11606;2477;6651;1354;783;341;0;0;0;0;11610;2230;9380;207;7;2;9926;9041;885;50;0;226;69;157;;4810;4;5;73;64;2;4;3;;135;;1480;300;50
