ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
1;GM1680;Aa en Hunze                             ;92;8;89;11;2.4;2.1;1.2;1.2;5;280
77;GM0358;Aalsmeer                                ;78;22;66;34;0.9;0.8;0.7;0.8;4;921
90;GM0197;Aalten                                  ;82;18;88;12;1.3;1.4;0.8;0.8;4;782
124;GM0059;Achtkarspelen                           ;88;12;89;11;1.6;1.6;0.8;0.7;5;427
152;GM0482;Alblasserdam                            ;68;32;82;18;0.8;0.6;0.4;0.5;2;1512
188;GM0613;Albrandswaard                           ;81;19;63;37;0.9;0.9;0.7;0.8;3;1022
222;GM0361;Alkmaar                                 ;64;36;87;13;1.0;0.8;0.5;0.6;2;2256
300;GM0141;Almelo                                  ;71;29;86;14;1.0;0.8;0.6;0.7;2;1589
381;GM0034;Almere                                  ;73;27;67;33;0.9;0.8;0.5;0.6;2;1601
454;GM0484;Alphen aan den Rijn                     ;66;34;86;14;0.8;0.9;0.6;0.7;2;1819
571;GM1723;Alphen-Chaam                            ;90;10;79;21;1.7;1.5;1.0;1.0;5;310
588;GM1959;Altena                                  ;88;12;82;18;1.0;1.0;0.8;0.7;4;500
671;GM0060;Ameland                                 ;80;20;89;11;1.0;0.5;1.1;0.8;5;253
680;GM0307;Amersfoort                              ;64;36;79;21;0.8;0.7;0.5;0.6;2;2293
858;GM0362;Amstelveen                              ;49;51;86;14;0.8;0.7;0.5;0.7;2;2492
920;GM0363;Amsterdam                               ;12;88;83;17;0.5;0.5;0.3;0.5;1;6057
1499;GM0200;Apeldoorn                               ;71;29;85;15;0.9;0.8;0.7;0.7;2;1734
1611;GM0003;Appingedam                              ;72;28;83;17;1.4;0.9;0.9;0.9;3;1067
1619;GM0202;Arnhem                                  ;52;48;84;16;0.9;0.7;0.5;0.6;2;2168
1727;GM0106;Assen                                   ;71;29;78;22;1.2;0.9;0.6;0.8;2;1531
1847;GM0743;Asten                                   ;86;14;82;18;1.3;1.1;0.8;0.8;4;953
1864;GM0744;Baarle-Nassau                           ;87;13;83;17;2.3;2.2;1.6;1.6;5;336
1875;GM0308;Baarn                                   ;67;33;91;9;0.9;0.6;0.6;0.7;2;1590
1902;GM0489;Barendrecht                             ;75;25;60;40;1.2;1.3;0.6;0.8;2;1666
1988;GM0203;Barneveld                               ;78;22;71;29;1.2;1.1;0.9;0.9;4;865
2046;GM0888;Beek                                    ;76;24;95;5;0.8;1.0;0.8;0.7;4;887
2057;GM1954;Beekdaelen                              ;85;15;93;7;0.8;1.0;0.7;0.9;5;498
2094;GM0370;Beemster                                ;89;11;80;20;1.4;1.6;1.1;1.2;4;621
2107;GM0889;Beesel                                  ;86;14;85;15;1.0;0.7;0.7;0.8;4;740
2118;GM1945;Berg en Dal                             ;81;19;82;18;0.9;1.0;0.8;0.8;4;646
2173;GM1724;Bergeijk                                ;87;13;84;16;1.2;1.3;0.8;0.8;4;501
2240;GM0893;Bergen (L.)                             ;93;7;88;12;2.2;1.7;1.0;1.0;5;315
2264;GM0373;Bergen (NH.)                            ;71;29;90;10;1.1;0.9;0.8;0.8;4;817
2308;GM0748;Bergen op Zoom                          ;70;30;87;13;0.9;0.9;0.6;0.6;2;1815
2353;GM1859;Berkelland                              ;81;19;85;15;1.6;1.5;1.1;0.9;4;657
2395;GM1721;Bernheze                                ;89;11;79;21;1.3;1.0;0.8;0.8;4;660
2455;GM0753;Best                                    ;80;20;81;19;0.9;0.8;0.6;0.7;3;1395
2474;GM0209;Beuningen                               ;85;15;84;16;0.7;1.0;0.7;0.9;4;997
2523;GM0375;Beverwijk                               ;55;45;80;20;0.6;0.6;0.5;0.6;1;2724
2571;GM0310;De Bilt                                 ;65;35;93;7;1.0;0.9;0.7;0.7;3;1255
2606;GM1728;Bladel                                  ;84;16;79;21;1.0;1.4;0.6;0.7;4;683
2627;GM0376;Blaricum                                ;87;13;76;24;0.9;0.8;0.6;0.7;3;1067
2638;GM0377;Bloemendaal                             ;74;26;88;12;0.9;0.7;0.6;0.6;3;1075
2666;GM1901;Bodegraven-Reeuwijk                     ;80;20;83;17;1.1;0.8;0.8;0.8;3;1124
2713;GM0755;Boekel                                  ;87;13;75;25;1.7;1.7;1.0;1.0;4;525
2724;GM1681;Borger-Odoorn                           ;93;7;86;14;1.9;1.9;1.3;1.4;5;262
2785;GM0147;Borne                                   ;85;15;79;21;1.1;1.0;0.7;0.7;3;1225
2803;GM0654;Borsele                                 ;92;8;85;15;1.2;1.3;0.9;0.9;5;320
2850;GM0756;Boxmeer                                 ;83;17;83;17;1.1;1.2;0.8;0.7;4;658
2892;GM0757;Boxtel                                  ;73;27;86;14;1.0;0.9;0.7;0.7;3;1211
2913;GM0758;Breda                                   ;61;39;83;17;0.7;0.7;0.5;0.7;2;2170
2981;GM0501;Brielle                                 ;80;20;80;20;1.3;1.0;1.8;1.1;4;873
3001;GM1876;Bronckhorst                             ;85;15;90;10;1.8;1.8;1.2;1.2;5;378
3052;GM0213;Brummen                                 ;88;12;89;11;1.0;1.0;0.8;0.7;4;763
3098;GM0899;Brunssum                                ;69;31;88;12;1.0;0.7;0.6;0.6;2;1671
3149;GM0312;Bunnik                                  ;84;16;85;15;0.8;0.7;0.7;0.7;4;659
3161;GM0313;Bunschoten                              ;80;20;77;23;1.3;0.9;0.9;0.5;3;1174
3173;GM0214;Buren                                   ;92;8;83;17;1.8;1.6;1.2;1.0;5;277
3220;GM0502;Capelle aan den IJssel                  ;45;55;90;10;0.7;0.7;0.5;0.7;2;2273
3309;GM0383;Castricum                               ;78;22;85;15;0.7;0.8;0.6;0.6;3;1335
3337;GM0109;Coevorden                               ;87;13;88;12;2.0;1.6;1.2;1.1;4;502
3415;GM1706;Cranendonck                             ;91;9;89;11;1.3;1.2;0.8;0.8;4;590
3442;GM1684;Cuijk                                   ;79;21;82;18;1.3;1.0;0.6;0.6;4;868
3470;GM0216;Culemborg                               ;75;25;75;25;0.9;0.7;0.5;0.5;3;1460
3480;GM0148;Dalfsen                                 ;87;13;78;22;2.1;1.6;1.2;1.0;4;500
3520;GM1891;Dantumadiel                             ;90;10;91;9;1.1;1.4;0.8;0.8;5;449
3542;GM0503;Delft                                   ;34;66;87;13;0.5;0.6;0.4;0.6;1;3496
3646;GM0010;Delfzijl                                ;78;22;90;10;1.4;1.3;0.9;0.9;4;673
3704;GM0762;Deurne                                  ;86;14;84;16;1.3;1.1;0.9;0.8;4;879
3727;GM0150;Deventer                                ;68;32;83;17;1.0;0.8;0.5;0.6;2;1792
3812;GM0384;Diemen                                  ;41;59;81;19;0.8;0.7;0.6;0.7;1;2518
3858;GM1774;Dinkelland                              ;86;14;83;17;2.0;1.9;1.1;0.9;5;468
3916;GM0221;Doesburg                                ;78;22;87;13;1.0;0.6;0.6;0.7;4;860
3929;GM0222;Doetinchem                              ;75;25;84;16;1.1;0.8;0.8;0.8;3;1136
4025;GM0766;Dongen                                  ;85;15;83;17;1.5;0.8;0.6;0.6;3;1194
4045;GM0505;Dordrecht                               ;56;44;90;10;0.8;0.7;0.4;0.6;1;2516
4188;GM0498;Drechterland                            ;89;11;77;23;1.6;1.7;0.9;0.9;5;498
4212;GM1719;Drimmelen                               ;86;14;86;14;0.9;0.7;0.7;0.8;4;782
4237;GM0303;Dronten                                 ;87;13;75;25;1.5;1.5;1.2;1.3;4;761
4287;GM0225;Druten                                  ;82;18;77;23;1.3;0.8;0.6;0.7;4;802
4310;GM0226;Duiven                                  ;87;13;88;12;1.1;1.1;0.7;0.8;3;1155
4331;GM1711;Echt-Susteren                           ;85;15;89;11;1.0;1.0;0.7;0.8;4;711
4400;GM0385;Edam-Volendam                           ;87;13;85;15;1.2;0.9;0.9;0.6;3;1299
4438;GM0228;Ede                                     ;69;31;78;22;1.1;1.0;0.7;0.7;2;1552
4527;GM0317;Eemnes                                  ;90;10;75;25;1.1;1.0;1.1;1.1;4;924
4539;GM0770;Eersel                                  ;83;17;81;19;1.5;1.5;0.7;0.8;4;566
4570;GM1903;Eijsden-Margraten                       ;85;15;87;13;1.1;1.2;0.9;1.1;5;460
4611;GM0772;Eindhoven                               ;61;39;84;16;0.7;0.6;0.5;0.6;1;2654
4748;GM0230;Elburg                                  ;85;15;84;16;1.1;0.9;0.8;0.7;4;666
4769;GM0114;Emmen                                   ;80;20;87;13;1.3;1.1;0.8;0.9;4;850
4880;GM0388;Enkhuizen                               ;73;27;82;18;0.8;0.7;0.6;0.6;3;1389
4891;GM0153;Enschede                                ;64;36;84;16;0.8;0.7;0.6;0.6;2;2126
4972;GM0232;Epe                                     ;80;20;89;11;1.3;1.2;0.9;0.8;4;732
5006;GM0233;Ermelo                                  ;78;22;84;16;1.5;1.1;0.8;0.8;4;881
5025;GM0777;Etten-Leur                              ;81;19;77;23;1.1;0.8;0.6;0.7;2;1668
5082;GM1940;De Fryske Marren                        ;91;9;86;14;2.0;1.2;1.0;0.9;4;553
5204;GM0779;Geertruidenberg                         ;80;20;86;14;1.5;0.8;0.5;0.6;3;1091
5219;GM1771;Geldrop-Mierlo                          ;79;21;87;13;1.0;0.8;0.6;0.6;3;1346
5233;GM1652;Gemert-Bakel                            ;86;14;79;21;1.5;1.1;0.7;0.7;4;766
5265;GM0907;Gennep                                  ;88;12;83;17;1.3;1.2;0.8;0.7;4;636
5287;GM0784;Gilze en Rijen                          ;85;15;82;18;0.8;0.9;0.6;0.7;3;1071
5302;GM1924;Goeree-Overflakkee                      ;86;14;81;19;1.1;1.1;0.7;0.7;4;618
5375;GM0664;Goes                                    ;75;25;84;16;1.0;1.2;0.8;0.7;3;1316
5414;GM0785;Goirle                                  ;84;16;82;18;0.9;1.0;0.6;0.7;3;1171
5464;GM1942;Gooise Meren                            ;68;32;94;6;0.7;0.8;0.5;0.6;2;1907
5527;GM0512;Gorinchem                               ;57;43;84;16;0.9;0.6;0.5;0.6;2;1718
5577;GM0513;Gouda                                   ;59;41;90;10;0.6;0.6;0.4;0.6;1;2530
5638;GM0786;Grave                                   ;81;19;87;13;1.6;1.1;0.6;0.6;4;638
5660;GM0518;'s-Gravenhage                           ;21;79;83;17;0.5;0.5;0.3;0.5;1;4892
5819;GM0014;Groningen                               ;40;60;85;15;0.8;0.7;0.5;0.7;1;3219
5978;GM1729;Gulpen-Wittem                           ;79;21;89;11;1.8;1.6;1.1;1.5;5;287
6015;GM0158;Haaksbergen                             ;84;16;86;14;1.5;1.2;0.8;0.8;3;1026
6053;GM0788;Haaren                                  ;85;15;82;18;1.3;1.1;0.9;0.9;5;374
6073;GM0392;Haarlem                                 ;51;49;90;10;0.6;0.5;0.3;0.5;1;3524
6206;GM0394;Haarlemmermeer                          ;75;25;73;27;1.0;1.1;0.7;0.8;2;1524
6321;GM1655;Halderberge                             ;87;13;85;15;1.1;1.0;0.8;0.8;4;751
6347;GM0160;Hardenberg                              ;86;14;81;19;1.5;1.4;1.0;1.0;4;550
6447;GM0243;Harderwijk                              ;69;31;75;25;0.9;0.8;0.7;0.6;2;1519
6527;GM0523;Hardinxveld-Giessendam                  ;75;25;84;16;0.7;0.8;0.7;0.6;4;980
6533;GM0072;Harlingen                               ;78;22;86;14;1.2;1.1;0.6;0.7;3;1040
6549;GM0244;Hattem                                  ;83;17;88;12;1.1;0.9;0.6;0.8;4;832
6562;GM0396;Heemskerk                               ;67;33;80;20;0.7;0.7;0.6;0.5;2;2328
6612;GM0397;Heemstede                               ;65;35;89;11;0.8;0.6;0.6;0.6;2;1760
6630;GM0246;Heerde                                  ;83;17;85;15;1.3;1.2;1.0;0.8;4;609
6648;GM0074;Heerenveen                              ;75;25;82;18;1.6;1.6;0.9;0.9;3;1090
6687;GM0398;Heerhugowaard                           ;78;22;71;29;1.0;0.8;0.6;0.7;2;1682
6748;GM0917;Heerlen                                 ;63;37;93;7;0.7;0.6;0.5;0.6;2;1815
6829;GM1658;Heeze-Leende                            ;90;10;82;18;1.8;0.9;0.7;0.8;4;582
6846;GM0399;Heiloo                                  ;75;25;84;16;1.0;0.7;0.6;0.7;3;1312
6875;GM0400;Den Helder                              ;73;27;92;8;1.0;0.8;0.6;0.7;2;1688
6949;GM0163;Hellendoorn                             ;85;15;87;13;1.3;1.0;0.8;0.7;4;807
6998;GM0530;Hellevoetsluis                          ;74;26;87;13;1.0;0.9;0.9;0.8;2;1530
7049;GM0794;Helmond                                 ;75;25;80;20;0.7;0.7;0.6;0.6;2;1748
7106;GM0531;Hendrik-Ido-Ambacht                     ;77;23;65;35;0.7;0.7;0.5;0.6;2;1796
7124;GM0164;Hengelo                                 ;70;30;87;13;0.9;0.7;0.5;0.7;2;1828
7197;GM0796;'s-Hertogenbosch                        ;61;39;81;19;0.9;0.7;0.6;0.6;2;1966
7319;GM0252;Heumen                                  ;83;17;85;15;1.3;1.3;0.9;0.8;4;796
7341;GM0797;Heusden                                 ;85;15;85;15;1.1;1.0;0.6;0.7;3;1077
7370;GM0534;Hillegom                                ;70;30;84;16;0.8;0.9;0.6;0.6;2;1551
7398;GM0798;Hilvarenbeek                            ;88;12;82;18;1.4;1.3;0.7;0.7;4;575
7415;GM0402;Hilversum                               ;59;41;90;10;0.6;0.6;0.5;0.5;1;2719
7468;GM1963;Hoeksche Waard                          ;84;16;84;16;1.0;0.9;0.8;0.8;4;824
7524;GM1735;Hof van Twente                          ;86;14;84;16;1.7;1.3;0.9;0.9;4;607
7583;GM1966;Het Hogeland                            ;90;10;89;11;1.3;1.4;0.8;0.9;5;411
7677;GM1911;Hollands Kroon                          ;90;10;86;14;1.5;1.5;1.1;1.1;5;431
7734;GM0118;Hoogeveen                               ;74;26;83;17;1.4;1.0;0.6;0.7;3;1202
7796;GM0405;Hoorn                                   ;72;28;83;17;0.8;0.7;0.6;0.6;2;1661
7885;GM1507;Horst aan de Maas                       ;89;11;84;16;1.5;1.5;0.8;0.8;4;563
7951;GM0321;Houten                                  ;77;23;64;36;1.6;1.6;0.6;0.7;2;1518
8024;GM0406;Huizen                                  ;72;28;90;10;0.8;0.7;0.5;0.6;2;2018
8068;GM0677;Hulst                                   ;90;10;86;14;2.1;2.0;0.9;1.0;4;501
8132;GM0353;IJsselstein                             ;70;30;79;21;0.7;0.7;0.5;0.6;2;1854
8164;GM1884;Kaag en Braassem                        ;82;18;81;19;1.2;1.4;0.9;0.8;4;597
8197;GM0166;Kampen                                  ;77;23;80;20;1.4;1.1;0.7;0.7;3;1464
8241;GM0678;Kapelle                                 ;90;10;79;21;0.8;0.7;0.7;0.7;4;642
8251;GM0537;Katwijk                                 ;59;41;80;20;0.7;0.6;0.5;0.5;2;2154
8301;GM0928;Kerkrade                                ;64;36;92;8;0.8;0.9;0.6;0.6;2;1738
8323;GM1598;Koggenland                              ;84;16;78;22;1.2;1.8;0.7;0.8;5;421
8394;GM0542;Krimpen aan den IJssel                  ;70;30;85;15;1.4;0.7;0.5;0.7;2;1954
8402;GM1931;Krimpenerwaard                          ;80;20;83;17;1.3;1.0;0.8;0.7;4;780
8483;GM1659;Laarbeek                                ;88;12;82;18;1.1;0.8;0.7;0.8;4;628
8503;GM1685;Landerd                                 ;87;13;81;19;1.1;1.4;1.0;1.0;5;476
8521;GM0882;Landgraaf                               ;76;24;90;10;0.7;0.9;0.6;0.7;3;1456
8552;GM0415;Landsmeer                               ;86;14;82;18;0.8;1.0;0.7;0.6;3;1019
8562;GM0416;Langedijk                               ;84;16;75;25;1.0;0.8;0.7;0.8;4;934
8571;GM1621;Lansingerland                           ;82;18;61;39;0.9;1.0;0.7;0.8;3;1285
8649;GM0417;Laren                                   ;82;18;89;11;0.8;0.9;0.5;0.7;3;1096
8661;GM0080;Leeuwarden                              ;65;35;86;14;1.3;0.9;0.6;0.7;2;2082
8814;GM0546;Leiden                                  ;43;57;87;13;0.5;0.7;0.4;0.7;1;3725
8879;GM0547;Leiderdorp                              ;60;40;90;10;1.0;0.9;0.5;0.6;2;2449
8899;GM1916;Leidschendam-Voorburg                   ;39;61;92;8;0.7;0.7;0.5;0.6;1;2888
8956;GM0995;Lelystad                                ;83;17;80;20;1.1;1.0;0.8;0.9;3;1369
9136;GM1640;Leudal                                  ;88;12;89;11;1.0;1.1;1.2;1.0;5;383
9185;GM0327;Leusden                                 ;81;19;84;16;0.8;1.0;0.8;0.8;3;1243
9220;GM1705;Lingewaard                              ;83;17;78;22;0.9;0.8;0.7;0.8;4;948
9250;GM0553;Lisse                                   ;69;31;85;15;0.7;0.8;0.7;0.6;2;1620
